what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1590012494841
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1590012494842
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1590012494842
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1590012494843
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1590012494843
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1590012494843
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1590012494844
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1590012494844
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1590012494845
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1590012494845
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1590012494845
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1590012494845
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1590012494846
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1590012494847
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1590012494848
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1590012494849
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1590012494849
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1590012494849
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1590012494850
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1590012494850
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1590012494850
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1590012494851
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1590012494851
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1590012494852
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1590012494852
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1590012494852
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1590012494853
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1590012494853
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1590012494854
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1590012494854
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1590012494854
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1590012494855
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1590012494855
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1590012494855
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1590012494856
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1590012494856
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1590012494857
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1590012494857
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1590012494858
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1590012494858
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1590012494858
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1590012494859
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1590012494859
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1590012494860
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1590012494860
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1590012494861
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1590012494861
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1590012494862
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1590012494862
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1590012494863
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1590012494864
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1590012494865
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1590012494865
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1590012494865
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1590012494866
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1590012494867
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1590012494867
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1590012494867
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1590012494868
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1590012494868
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1590012494869
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1590012494869
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1590012494870
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1590012494871
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1590012494871
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1590012494872
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1590012494872
started,bundle,com.altera.sbtgui.integration,13.1.0.182,"com.altera.sbtgui.integration",1590012494872
started,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1590012494873
started,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1590012494873
started,bundle,com.altera.sbtgui.ui,13.1.0.182,"com.altera.sbtgui.ui",1590012494874
started,bundle,com.altera.systemconsole,13.1.0.182,"com.altera.systemconsole",1590012494874
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.182,"com.altera.systemconsole.designs.plugin",1590012494874
started,bundle,com.altera.utilities,13.1.0.182,"com.altera.utilities",1590012494874
os,sysinfo,,,"win32",1590012494876
arch,sysinfo,,,"x86",1590012494876
ws,sysinfo,,,"win32",1590012494876
locale,sysinfo,,,"en_NZ",1590012494876
processors,sysinfo,,,"8",1590012494876
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1590012494876
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1590012494876
java.specification.name,sysinfo,,,"Java Platform API Specification",1590012494876
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1590012494876
java.specification.version,sysinfo,,,"1.6",1590012494876
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1590012494876
java.version,sysinfo,,,"1.6.0_23",1590012494876
java.vm.info,sysinfo,,,"mixed mode",1590012494876
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1590012494876
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1590012494876
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1590012494876
java.vm.specification.version,sysinfo,,,"1.0",1590012494876
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1590012494876
java.vm.version,sysinfo,,,"19.0-b09",1590012494876
started,bundle,com.altera.sbtgui.core,13.1.0.182,"com.altera.sbtgui.core",1590012497495
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1590012497600
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1590012497750
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1590012497754
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1590012497755
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1590012497756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012498064
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1590012520075
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1590012520113
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1590012520562
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1590012521457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012526570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012530237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012532544
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1590012532556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1590012532556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012532570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012546218
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1590012546808
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1590012546833
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1590012546927
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1590012547192
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1590012549395
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1590012549677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012551024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012551820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012558957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012570800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012570964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012573897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012575600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012590528
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1590012601286
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1590012605442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012607926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012609892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1590012617856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012619194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012627087
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1590012639266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012651734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012654609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1590012656604
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1590012656605
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1590012656617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012657822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012662587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012663884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012666479
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1590012666488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1590012666488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012668960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012692608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012697449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012700841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1590012700855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012703495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012722867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1590012726763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012727402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012731268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012732961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012737904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012737974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012762828
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1590012763332
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1590012763334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012764672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012767202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012767226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012768828
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1590012774463
started,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1590012774463
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1590012776137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012776336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012776448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012777927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012788487
opened,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1590012790484
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1590012790799
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1590012790807
activated,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1590012799707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012837336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012839283
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1590012839390
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1590012839648
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1590012839649
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1590012839649
stopped,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1590012839649
stopped,bundle,com.altera.sbtgui.ui,13.1.0.182,"com.altera.sbtgui.ui",1590012839649
stopped,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1590012839649
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1590012839649
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1590012839649
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1590012839650
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1590012839650
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1590012839650
stopped,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1590012839650
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1590012839650
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1590012839662
